Process,Categorization,Word,Definition
ML Project,Problem Definition,Consideration,"How Invested are stakeholders in defining the problem? What is their view of the process/ project, how invested, interested and engaged are they. What are their personal goals and motivation, speed, accuracy, validation of ideology?"
ML Project,Problem Definition,Consideration,"Proceed with extreme caution where the problem statement is incomplete, or ill-stated, as this is likely indicative that the problem is not truly understood or at a minimum defined. Where this is the case, the project will be at extreme risk and the likelihood of not meeting expectations, frustration, or material change to purpose, scope or priority is inevitable."
ML Project,Problem Definition,Requirement,"Attempt to explicitly define outcomes and relevant KPIs for those outcomes. Where that can not happen, it is important to understand why that can not happen. What is happening if we dont have and follow metrics. IE. The Account Opening Process is not effiicient and needs to improve, The Internet Banking Experience is poor, and does not attract customers. How do you monitor this, how can you define this, how can you prove this,  how do you expect this to change and measure that change.

How will the project and efforts be measured where success can not be objectively measured? How will resources be allocated when it remains unclear what benefit or risk exists."
ML Project,Problem Definition,Requirement,"Must be careful at how problem is defined. Is it defined in the context of the already identifed solution, has it been validated and is the problem distinct from the analysis and potential solution, or have we leaked into the process."
ML Project,Process Step,Data Collection,"Data collection involves identifying, sourcing, and acquiring the datasets required to solve the defined problem. This may include internal databases, APIs, logs, third-party data, or manually collected data. Key considerations include data availability, coverage, granularity, freshness, and legal or privacy constraints. The quality and relevance of collected data fundamentally limit the ceiling of model performance.

Need to understand the data available to solve a problem, insure that it's documented, understood and trusted. Need to identify, not only information which is available, but information which is not available and should be.  This should be explicitly documented, referenced constantly and readily available (Semantic and Functional Definition).
"
ML Project,Data Collection,Requirement,"What consessions have we made due to a lack of data availability, and how are those going to undermine the work we plan on doing. "
ML Project,Data Collection,Requirement,"Who is the Data Steward, are they involved, and operationally do we have integrity, consistency and availability to include?"
ML Project,Data Collection,Requirement,"Review Semantic and Functional Definitions, ensuring there is sufficient and appropriate coverage. Testing and decisioning to occur during Feature Selection."
ML Project,Process Step,Data Preparation,"Data preparation focuses on cleaning and structuring raw data into a usable format for modeling. This includes handling missing values, correcting errors, standardizing formats, encoding categorical variables, and aligning labels with features. It also often involves train/validation/test splitting to prevent data leakage. This step is critical because most models assume clean, well-structured inputs and are highly sensitive to data issues.

Need to establish up a consistent, robust and repeatable data ingestion process, which starts at the outset of the project. Where the infrastructure is not immediately available, need to clearly document the journey.  Need to call out requirements, expectations and limitations, and where resources are necessary, they should be identified at this point. 

Where operational changes are necessary, or a prerequisite, need to understand how these will documented and escalated or addressed."
ML Project,Data Preparation,Baseline,"Baseline represents the typical or expected behavior of an entity over a meaningful historical period. It answers the question “What is normal for this entity?” and provides context against which current state and changes can be interpreted. Baseline is conceptually stable even when its numeric value evolves, allowing models to distinguish structural differences between entities from temporary deviations. In modeling, Baseline is often foundational for defining identity and long-term segmentation."
ML Project,Data Preparation,Dimension,"A Dimension is a conceptual axis of behavior or meaning that you believe exists in the real world and want your model to represent. It answers a behavioral or semantic question, not a technical one. Dimensions are stable over time, even as data sources, features, or models change (for example, we always need to understand Current State, and rate of change, even though both of what is being studied may change drastically). They are the why behind your features.
Ultimately, it is the question, What Behaviour Matters."
ML Project,Data Preparation,Implementation,"An Implementation is a specific measurable representation of a dimension, constructed from available data. It answers the question: “How do we observe this dimension in practice?” Implementations can change as data improves, but they should always map clearly back to a single dimension. Examples include; 6-month rolling average balance, 12-month median transaction value, Seasonally adjusted mean.
Ultimately it is the question, How do we measure it."
ML Project,Data Preparation,Parameter,"A Parameter is a tuning choice that controls how an implementation is calculated, without changing what it represents. Parameters affect sensitivity, smoothness, or scale, but not conceptual meaning. They are the knobs you turn during experimentation. Examples include Window length: 3M vs 6M vs 12M, Weighting scheme: equal vs exponential, Aggregation: mean vs median
Ultimately it is the questions, How do we compute it."
ML Project,Data Preparation,Volatility,"Volatility represents the consistency or variability of behavior over time. It answers the question “How stable or predictable is this entity’s behavior?” and distinguishes steady patterns from irregular or erratic ones. Volatility provides important diagnostic context, helping differentiate sustained change from noise or one-off events. In modeling, Volatility is typically explanatory or risk-related rather than defining core identity."
ML Project,Data Preparation,Semantic Type,"Influenced by the literal definition of semantic: the meaning or  nature of a variable, describes what kind of real-world concept a variable represents, independent of any specific model. It classifies data based on meaning—such as whether a variable reflects behaviour (actions over time), structure (relatively stable state or capacity), or context (situational or explanatory attributes). Definition helps to classify the variable for inclusion, or exclusion of a model."
ML Project,Data Preparation,Functional Role,"Describes how a variable is used within a specific model or modeling process, rather than what it represents conceptually. It classifies variables based on whether they actively shape the model (core), help interpret results (descriptive), or evaluate model quality and stability (diagnostic). For example, POS Transaction 6-Month Average may be a core variable that defines clusters, while Assignment Margin is diagnostic because it evaluates how confidently members are assigned. Classifying functional role is critical in ML modeling—especially in unsupervised learning—because it makes modeling assumptions explicit, prevents unintended variables from shaping outcomes, and enables controlled, explainable model evolution."
ML Project,Data Preparation,ElasticNet,Approach which combines L1 and L2 Regularization.
ML Project,Data Preparation,Lasso,"Technique used to prevent overfitting by adding penalty term to loss function. Adds the absolute values of the coefficients as a penalty term. This leads to sparse models, as some coefficients become exactly zero"
ML Project,Data Preparation,Ridge,"Technique used to prevent overfitting by adding penalty term to loss function. Adds the squared values of the coefficients as a penalty term. This incrases the cost of larger parameters, encouraging the model to distribute parameters waiting This shrinks the coefficients but does not eliminate them."
ML Project,Data Preparation,State,"State represents the current condition of an entity at a specific point in time. It answers the question “Where is this entity right now?” and reflects the most recent observed values of relevant measures, frequency, balances, etc. State is essential for anchoring decisions in the present but is insufficient on its own without historical context. In modeling, State provides immediacy and scale but must be interpreted alongside other dimensions to avoid over-reacting to short-term fluctuations. Examples Include: Current Deposit Balance, Current Month POS TXN Count, Number of Active Accounts."
ML Project,Data Preparation,Descriptive,"Descriptive represents summarized or smoothed representations of an entity’s behavior over a defined historical window. It answers the question “What does this entity typically look like?” by reducing short-term noise and highlighting central tendency or typical patterns across time. Descriptive measures provide stability and interpretability by contextualizing current behavior within a broader historical baseline. In modeling, Descriptive variables help prevent over-reaction to transient spikes or dips but must be carefully managed to avoid redundancy with State measures. Examples include Avg Balances, Maximums over an extended period of time."
ML Project,Data Preparation,Diagnostic,"Diagnostic represents measures of directionality, momentum, or variability in an entity’s behavior over time. It answers the question “How is this entity changing?” by capturing growth, decline, volatility, or acceleration relative to prior periods. Diagnostic measures are essential for understanding trajectory, early warning signals, and emerging shifts that may not yet be visible in current state alone. In modeling, Diagnostic variables enhance interpretability and foresight but should be used cautiously, as excessive reliance can introduce instability and reduce cluster persistence. Diagnostic can be broken into 4 Categories, Trend, Momentum, Change and Volatility."
ML Project,Data Preparation,Structural,"Structural represents relatively stable attributes that describe how an entity is configured within the system rather than how it behaves at a given moment. It answers the question “What is the entity’s structural position?” by reflecting enduring characteristics such as product holdings, account composition, or long-term balances. Structural measures anchor and constrain behavior by defining capacity, access, and configuration. In modeling, Structural variables provide important context but should be included sparingly to avoid overwhelming activity-based signals or unintentionally clustering entities by size rather than behavior. Product Count, Product Flags, Tenure."
ML Project,Data Preparation,Contextual,"Contextual represents external or situational factors that influence behavior but are not behaviors themselves. It answers the question “What conditions surround this entity?” by capturing environmental, geographic, policy, or situational elements that shape observed actions. Contextual measures help explain why similar entities may behave differently under different circumstances. In modeling, Contextual variables are generally inappropriate as primary drivers of similarity but are critical for interpretation, validation, and responsible application of results. Examples include, Regional Indicator, Interest Rate Macro Flags, Employement Type)"
ML Project,Data Preparation,Demographic,"Demographic represents intrinsic attributes of an entity that change infrequently and describe who the entity is rather than what it does. It answers the question “Who is this entity?” by capturing characteristics such as age, household composition, or other identity-level descriptors. Demographic measures provide essential interpretive context and support equity-aware analysis but do not directly represent behavior. In modeling, Demographic variables are typically excluded from defining similarity to avoid embedding bias or non-actionable distinctions, and are instead used for post-hoc analysis, monitoring, and policy alignment. Examples inlcude, Member Age Band, Language Preferences, Postal Code, Household Parameters, etc."
ML Project,Data Preparation,Constraint,"Constraint represents limitations or enabling conditions that bound an entity’s range of possible behavior. It answers the question “What limits or enables this entity’s choices?” by approximating capacity, dependency, or stress through proxy measures such as income concentration or balance volatility. Constraint measures help distinguish inability from preference. In modeling, Constraint variables are best used diagnostically to interpret cluster composition rather than to define cluster membership."
ML Project,Data Preparation,Constraint: Capacity,"Constraints which represent the fundamental economic or operational limits that bound an entity’s feasible range of actions, regardless of intent or preference. They are critical for distinguishing observed behavior from what is realistically possible, helping avoid misinterpretation of low activity as disinterest rather than limitation. In modeling, capacity constraints provide guardrails for ethical interpretation and prevent over-attribution of agency where structural limits exist. They are best used diagnostically to contextualize clusters and inform suitability, risk, and support decisions.

Examples; Debt service ratio (estimated obligations ÷ inflows), Credit utilization rate, Liquidity coverage ratio (liquid balances ÷ monthly outflows)"
ML Project,Data Preparation,Constraint: Stability & Fragility,"Constraints which capture the reliability and predictability of an entity’s financial or behavioral foundation rather than its current level or direction. They are important because volatility, dependency, or irregularity can severely limit planning ability and resilience even when averages appear healthy. These constraints help explain why entities with similar states behave differently under stress or change. In modeling, they support early risk identification and responsible interpretation without driving cluster formation.

Examples; Balance volatility index, Income concentration ratio, Irregular inflow variability score"
ML Project,Data Preparation,Constraint: Access & Configuration,"Constraints which reflect limitations imposed by system setup, product availability, or channel enablement rather than by the entity’s choices. They are important because behavior cannot be meaningfully interpreted without understanding what options are actually available. These constraints help distinguish exclusion or friction from deliberate disengagement. In modeling, they ensure clusters are interpreted in light of opportunity sets rather than assumed preferences.

Examples; Lack of revolving credit access flag, Digital banking enablement indicator, Funds locked in restricted or term products ratio"
ML Project,Data Preparation,Constraint: Stress & Load,"Constraints which represent sustained pressure that restricts flexibility and increases vulnerability, even if short-term indicators appear stable. They are important for identifying entities operating near or beyond their functional limits, where small shocks can lead to outsized effects. These constraints help explain brittle or reactive behaviors that are not captured by state alone. In modeling, they support responsible application by highlighting latent risk without over-weighting transient fluctuations.

Examples: Frequency of negative net cash-flow periods, Overdraft reliance rate, Minimum balance breach frequency"
ML Project,Data Preparation,Constraint: Time & Commitment,"Constraints which capture obligations that reduce an entity’s degrees of freedom over a defined horizon, independent of current behavior. They are important because long-term commitments can materially limit adaptability, even when present conditions seem favorable. These constraints help explain inertia, delayed responses, or resistance to change in observed behavior. In modeling, they provide critical context for interpreting persistence and transition dynamics across clusters. 

Examples. Fixed commitment load (recurring debits ÷ outflows), Long-term product commitment score, Contractual tenure-weighted obligation index"
ML Project,Data Preparation,Diagnostic - Change,"Measures the difference in a value between two defined points in time. It answers the question “How much did this metric increase or decrease?” by comparing a current period to a prior baseline. Change captures short-term movement and is often the first signal of emerging behavior. In modeling, Change variables are useful for detecting early shifts but can be noisy if used without context.
Examples: Month-over-month change in total deposits, Change in transaction count compared to last month, Increase or decrease in average account balance since prior period"
ML Project,Data Preparation,Diagnostic - Trend,"Describes the overall direction and pattern of change across multiple time periods rather than a single comparison. It answers “Is this behavior generally increasing, decreasing, or stable over time?” by smoothing short-term fluctuations. Trends provide insight into sustained behavioral movement and are more stable than point-in-time changes. In modeling, Trend variables help distinguish temporary spikes from meaningful trajectories.

Examples: 6-month rolling trend in payroll deposits, Slope of average monthly balance over the past year, Directional trend in debit transaction volume"
ML Project,Data Preparation,Diagnostic - Volatility,"Measures how variable or inconsistent a metric is over time. It answers “How stable is this behavior?” by capturing dispersion, fluctuation, or unpredictability around a typical value. High volatility often indicates irregular engagement or financial instability, while low volatility suggests consistent behavior. In modeling, Volatility variables can be strong predictors but must be interpreted carefully to avoid overreacting to noise.

Examples: Standard deviation of monthly deposits over 6 months, Variability in transaction counts across recent periods, Fluctuation in balance levels month to month"
ML Project,Data Preparation,Diagnostic - Momentum,"Measures the rate and acceleration of change rather than the direction alone. It answers “Is this behavior changing faster or slowing down?” by assessing whether growth or decline is intensifying. Momentum highlights inflection points that may not yet be visible in overall trend. In modeling, Momentum variables are powerful early-warning indicators but can introduce instability if overused. It is effectively the second derivative, so the change of the change.

Examples;  Acceleration in deposit growth over consecutive months, Increasing rate of decline in account balances, Speed of increase in digital transaction adoption"
ML Project,Data Preparation,Core Variables,"Primary drivers of similarity and distance in cluster formation. They directly define the behavioral dimensions the segmentation is intended to capture, and removing them would materially change cluster structure or archetype meaning. Core variables are included in distance calculations and must remain stable across model iterations to preserve interpretability. Core variables are most often State or Descriptive behavioral measures, and should be limited in number."
ML Project,Data Preparation,Supporting,"Contribute to cluster separation, stability, or boundary refinement but do not independently define cluster identity. They may influence distance calculations or be used in secondary weighting, but clusters should remain interpretable without them. Supporting variables help smooth transitions, reduce ambiguity, or capture secondary behavior patterns. Supporting variables can include State, Descriptive, Structural, or Diagnostic measures."
ML Project,Data Preparation,Explanatory,"Not used in cluster formation or distance calculations. They provide interpretive context after clusters are formed, helping explain why clusters look the way they do rather than how they were created. These variables are often used for labeling, storytelling, validation, or governance review. Explanatory variables commonly include Structural, Contextual, or Demographic attributes."
ML Project,Data Preparation,Monitoring,"Variables used to track outcomes, drift, or post-engagement effects over time. Monitoring variables are excluded from clustering inputs to avoid leakage but are essential for evaluating stability and impact."
ML Project,Data Preparation,Momentum,"Momentum represents the direction and rate of change in behavior over time. It answers the question “Is this entity increasing, decreasing, or remaining stable?” and captures transitional dynamics that are not visible from state or baseline alone. Momentum is critical for detecting emerging trends, shifts in behavior, and potential future movement between segments. In modeling, Momentum often explains why change is occurring rather than what the current condition is."
ML Project,Data Preparation,Requirement,"Define strategies around Imputation, Deletion, Standardization."
ML Project,Data Preparation,Requirement,"Model Pipleine, including training, testing and validation strategies."
ML Project,Process Step,Exploratory Data Analysis,"Foundational step in ensuring the success of a machine learning model—and, by extension, the overall project. Its purpose is to confirm that the data is appropriately structured, consistent, and of sufficient quality to support reliable modeling.

While every dataset and project is unique, applying a consistent EDA approach helps reduce the laborious and time-consuming nature of data preparation. A structured process enables quicker identification of data issues, improves understanding of key variables and relationships, and creates a more stable foundation for subsequent modeling decisions. "
ML Project,Exploratory Data Analysis,Dashboard,Reference Process Here
ML Project,Exploratory Data Analysis,Python Function,Reference Process Here
ML Project,Process Step,Feature Engineering,"Process of creating new input variables that better represent the underlying patterns in the data. It may include transformations (log, scaling), aggregations, interactions, temporal features, or domain-specific encodings. Effective feature engineering can significantly improve model performance even with simple algorithms. It embeds domain knowledge into the model and often provides more value than algorithmic complexity.  It is often one of the most impactful steps in the machine learning workflow."
ML Project,Feature Engineering,Requirement,"What ratios or proportions could better represent behavior than raw values? Many real-world patterns depend on relative size (e.g., debt-to-income, usage-to-capacity), so ratios often reveal signal that absolute values hide."
ML Project,Feature Engineering,Requirement,"What combinations or interactions might reflect how factors work together? Some outcomes are driven by the interaction between variables (e.g., high balance and high transaction frequency), so combining features can expose relationships a model might miss."
ML Project,Feature Engineering,Requirement,"What time-based changes or aggregates could capture trends or stability? Differences, growth rates, or rolling averages often reflect momentum or consistency, which are strong predictors of future behavior."
ML Project,Process Step,Feature Selection,"Process of identifying and retaining the most relevant variables for model training while removing redundant, noisy, or irrelevant features. This helps reduce overfitting, improve model performance, and increase interpretability. Feature selection techniques may be statistical, model-based, or embedded within the learning algorithm. The goal is to create a simpler, more robust feature set that generalizes well to new data.

It is important to be in a position to Logically and Mathematically be in a position to defend inclusion and exclusion decisions. Although a highly technical step, it is critically important that stakeholders and partners are included and in references and terms which are appropriate for them."
ML Project,Feature Selection,Consideration,"Avoid ambigious features. Is a Banana ripe, who says so?"
ML Project,Feature Selection,Consideration,"Careful when something is truly random generated, Atmospheric Change, Earthquakes, Stocks. Very difficult, if not impossible to predict."
ML Project,Feature Selection,Consideration,"How robust is your model to change and what is it actually predict. 
MNIST performance when tilting Images, of adding noise."
ML Project,Feature Selection,Requirement,Generate feature importance or explanation outputs. Helps understand what drives model predictions.
ML Project,Feature Selection,Requirement,Remove features with high missingness or low variance. Reduces noise and improves model stability.
ML Project,Feature Selection,Requirement,Check for multicollinearity or redundant features. Helps prevent unstable models and improves interpretability.
ML Project,Feature Selection,Requirement,Validate selected features using model or statistical methods. Ensures the retained features actually contribute to predictive performance.
ML Project,Process Step,Validation/ Model Selection,"The process of choosing the most appropriate algorithm or model type for a given problem and dataset. This decision is based on factors such as data size, feature structure, interpretability needs, computational constraints, and performance requirements. Multiple candidate models are often tested and compared using consistent evaluation methods. The objective is to identify the model that provides the best balance between accuracy, stability, and practical usability.

Similiar to the process of engagement and audit followed in Feature Selection, it is critically important that actions are documented, defensable and clearly and consistently articulated to stakeholders in a meaningful manner."
ML Project,Validation/ Model Selection,Requirement,"Ensure that final selection is documented and agreed by apporpiate stakeholders, who have been part of entire development journey, understand and are aware."
ML Project,Validation/ Model Selection,Requirement,Use cross-validation or a structured validation approach. Provides a more reliable estimate of model performance.
ML Project,Validation/ Model Selection,Requirement,Ensure no data leakage between training and validation sets. Prevents overly optimistic performance estimates.
ML Project,Validation/ Model Selection,Requirement,Confirm performance stability across folds or time splits. Indicates the model is robust and generalizable.
ML Project,Process Step,Training,"Process of fitting a machine learning model to data so it can learn the relationships between input features and the target variable. During training, the model adjusts its internal parameters to minimize a loss function. This step typically occurs on a designated training dataset. The quality of training directly affects the model’s ability to generalize to new, unseen data."
ML Project,Training,Consideration,"Any data set can be optimized, even when there is NO relation it will generalize. Remember the goal, ability to generalize, not simply predict training."
ML Project,Training,Hinge Loss,"Loss function used primarily for binary classification, especially in Support Vector Machines (SVMs). It's designed to maximize the margin between classes — that is, push predictions to be confidently correct. It penalizes predictions that are: On the wrong side of the decision boundary Or correct but not confidently correct (i.e., too close to the margin)"
ML Project,Training,Huber Loss,Loss function used in regression problems that is robust to outliers — it's essentially a blend between Mean Squared Error (MSE) and Mean Absolute Error (MAE). Regression with noisy or outlier-prone data Situations where you want the stability of MSE but the robustness of MAE
ML Project,Training,Cross Validation,"Model evaluation technique used to assess how well a model generalizes to unseen data by repeatedly splitting the dataset into training and validation subsets. The model is trained on one portion of the data and evaluated on another, and the results are aggregated to provide a more reliable estimate of performance than a single train–test split. This approach helps detect overfitting and supports more robust model selection"
ML Project,Training,Adadelta,Adaptive learning rate for nonstationary objectives.
ML Project,Training,Adagrad,"Variation of Gradient Descent, which adapts the learning rate for each parameter by scaling it inversely proportional to the sum of past squared gradients. 
"
ML Project,Training,Adam,"Variation of Gradient Descent, which combines both momentum and RMSprop, maintaining an exponentially decaying average of past gradients and squared gradients."
ML Project,Training,AdamW,"Variant of Adam with weight decay, prevents overfitting."
ML Project,Training,Momentum,"Variation of Gradient Descent, which accelerates learning by accumulating a moving average of past gradients."
ML Project,Training,Nadam,Adam optimizer with Nesterov momentum for better convergence.
ML Project,Training,RMSprop,"Variation of Gradient Descent, which adapts the learning rate by dividing by an exponentially weighted moving average of past squared gradients. Adapts learning rates based on recent gradient magnitudes. Good for RNNs."
ML Project,Training,Requirement,"Is split between Training, Testing and Validation appropriate, fair and responsable. Validate and document."
ML Project,Training,Requirement,Verify model converges and loss decreases during training. Confirms the model is learning meaningful patterns.
ML Project,Training,Requirement,"Log model parameters, features, training configuration and results. Supports reproducibility and troubleshooting."
ML Project,Process Step,Hyperparameter Tuning,"Optimizing the configuration settings that control how a model learns, rather than the parameters learned during training. These settings, such as tree depth or regularization strength, can significantly influence model performance and stability. Tuning is typically done using methods like grid search, random search, or Bayesian optimization. The goal is to identify the hyperparameter combination that produces the best validation performance."
ML Project,Hyperparameter Tuning,Python Function,Process for this to be created from existing manual leaning processes.
ML Project,Hyperparameter Tuning,Requirement,Define a clear search space for key hyperparameters. Ensures tuning focuses on meaningful configurations.
ML Project,Hyperparameter Tuning,Requirement,Use cross-validation or a validation set for tuning. Prevents overfitting to the training data.
ML Project,Hyperparameter Tuning,Requirement,Record best parameters and associated performance. Allows reproducibility and comparison across experiments.
ML Project,Hyperparameter Tuning,Requirement,"Define Parameters you will tune and approach to tuning before you commence tuning. Do not simply tune model to optimal parameters without considering what you are actually doing, and its ability to generalize."
ML Project,Process Step,Model Evaluation,"Process of measuring how well a trained model performs using appropriate metrics and test data. This step assesses predictive accuracy, generalization, and robustness. Different metrics are used depending on the problem type, such as accuracy, F1 score, RMSE, or AUC. Evaluation ensures the model meets performance expectations before deployment, and results often determine whether a model is production-ready."
ML Project,Model Evaluation,Area Under the Curve,"AUC (Area Under the Curve) measures a model’s ability to distinguish between classes by summarizing the performance of the ROC (Receiver Operating Characteristic) curve. It represents the probability that the model ranks a randomly chosen positive example higher than a randomly chosen negative one. AUC ranges from 0.5 (no better than chance) to 1.0 (perfect separation), with higher values indicating better classification performance.
AUC is primarily a binary classification metric, so when using against a multivariate challenge must determine how to score, OVR, OVO. One Vs Rest, One vs One. Using MNist as an example, OVR evaluates 10 0 vs (1,2,3,4,5,6,7,8,9), 1 vs () ... etc, Where OVO measures 45 0 Vs 1, 0 vs 2, etc.."
ML Project,Model Evaluation,Bias,"Bias refers to the systematic error in a model that causes it to consistently deviate from the true value or correct predictions. It occurs when an algorithm makes incorrect assumptions or omissions about the data, leading to errors.
High Bias (Underfitting): The model is too simple and cannot capture patterns. 
Low Bias, High Variance (Overfitting). The model memorizes the data but does not generalize."
ML Project,Model Evaluation,Bias - Variance Trade Off,"The bias-variance trade-off is a key concept in machine learning that highlights the balance between two sources of error: bias and variance, tuning the relationship between a model's complexity, the accuracy of its predictions, and how well it can make predictions on previously unseen data that were not used to train the model The challenge is to find a model that strikes the right balance between bias and variance, as reducing one typically increases the other. The ultimate goal is to minimize the total error, which is the sum of bias error, variance error, and irreducible noise inherent in the data. Achieving this balance ensures the model generalizes well to new, unseen data, avoiding both underfitting and overfitting. More Data vs More Data Science - Bias vs Variance 
It can often be explained by the Trade-Off (Bias - Data Scientist, Variance - Data), where to invest.

In general, as we increase the number of tunable parameters in a model, it becomes more flexible, and can better fit a training data set. It is said to have lower error, or bias. However, for more flexible models, there will tend to be greater variance to the model fit each time we take a set of samples to create a new training data set. It is said that there is greater variance in the model's estimated parameters.High-variance learning methods may be able to represent their training set well but are at risk of overfitting to noisy or unrepresentative training data. In contrast, algorithms with high bias typically produce simpler models that may fail to capture important regularities (i.e. underfit) in the data."
ML Project,Model Evaluation,Variance,"Variance refers to errors caused by models that are too sensitive to small fluctuations in the training data, often resulting in overfitting. High-variance models are overly flexible, capturing noise as if it were meaningful patterns. A model with many degrees of freedom (such as a high-degree polynomial model) is likely to have high variance and thus overfit the training data. As an example, if you created a model of How Predicting Housing Prices in 1 Neighbourhood would work and applied it to different neighbourhoods, if your model was simple, it wouldn’t work well anywhere and thus would be Wrong, but consistently-ish wrong. If your model was Good, it would work similarly well every well. If you model was overfit, it would work really well in 1 place, not so well elsewhere.
"
ML Project,Model Evaluation,Receiver Operating Characteristic (ROC),"Graphical tool used to evaluate the performance of a binary classifier by plotting the true positive rate against the false positive rate across varying decision thresholds. It originated during World War II in signal detection theory to assess radar system performance. ROC analysis is important because it separates a model’s discriminative ability from any single threshold choice. The curve and its summary statistic, the Area Under the Curve (AUC), provide a threshold-independent measure of performance. ROC is widely used in machine learning, medicine, finance, and risk modeling where trade-offs between sensitivity and specificity matter."
ML Project,Model Evaluation,F1 Score,"F1 is harmonic mean is a type of average that is calculated by dividing the number of values by the sum of the reciprocals of the values, making it useful for situations where rates or ratios are involved, such as calculating average speeds or in situations where equal weighting is given to each data point’s contribution to the average. The F-score (or F1-score) is a measure of a model’s accuracy that considers both precision and recall. The F1-score is particularly useful when your dataset is imbalanced, and you want to ensure both precision and recall are considered. For example, if you only focus on precision, you might ignore false negatives (missed positive cases), and if you focus only on recall, you could have many false positives. The F1-score provides a balanced assessment by combining both metrics. The F Score is a Harmonic Mean, which means that it gives additional consideration to the effect of Lower Values (1/ sum (1/x)). Using travel time as an example, if you travelled 20 Miles (10 Miles at 30 MPH and 10 Miles at 60 MPH) your harmonic mean would be 36, not 45."
ML Project,Model Evaluation,Precision,"Precision is the ratio of correct positive predictions to the overall number of Positive Predictions.  It is useful when false positives are costly (e.g., spam detection, where predicting a normal email as spam is bad)."
ML Project,Model Evaluation,Recall,"Recall is the correct positive predicitions to the overall number of positive examples. It is useful when false negatives are costly (e.g., medical diagnosis, where missing a disease case can be dangerous)."
ML Project,Model Evaluation,Requirement,Use metrics appropriate to the problem type and business goal. Ensures the model is evaluated in a way that reflects real-world impact.
ML Project,Model Evaluation,Requirement,Evaluate performance on a hold-out test set. Provides an unbiased estimate of generalization performance.
ML Project,Model Evaluation,Requirement,Check for overfitting by comparing training and test results. Identifies models that may not perform well in production.
ML Project,Process Step,Validation,"Validation is the process of assessing model performance on data that was not used during training. It is used to tune hyperparameters, compare models, and detect overfitting. Common approaches include hold-out validation and cross-validation techniques. The purpose is to estimate how well the model will perform on unseen data."
ML Project,Validation,Confusion Matrix,"Table used to evaluate the performance of a classification model by comparing predicted labels to actual labels. It summarizes the counts of true positives, true negatives, false positives, and false negatives, providing a detailed view of where the model makes correct and incorrect predictions. This breakdown supports the calculation of metrics such as accuracy, precision, recall, and F1 score."
